/nethome/mct30/bmds/SAM_out/BTIRed_Gut_plants.map		
Percentage	Number of reads	Filename
0.8758%	57543	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
0.4675%	30719	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
12.4276%	816540	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
1.1934%	78412	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
2.0017%	131518	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
1.0851%	71296	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
0.5383%	35369	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
7.5262%	494504	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
14.2762%	938002	/nethome/mct30/gitclones/bmds/aphid/files/BTIRed_Gut_plants.map.tsv
